                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                 0.3686,                0.22165,                0.89156,                0.99792,                      1,                  0.995,                0.92985,                0.48803,                0.21972,                0.95636,             0.00038211,             0.00038211,             0.00038211
                     76,                0.38016,                0.22248,                0.89354,                0.99601,                0.99887,                  0.995,                0.93486,                0.47757,                0.20182,                0.97833,             0.00036797,             0.00036797,             0.00036797
                     77,                0.37269,                0.21541,                0.88957,                0.99644,                      1,                  0.995,                0.93647,                0.47636,                0.20048,                0.98484,             0.00035382,             0.00035382,             0.00035382
                     78,                0.36925,                0.21469,                0.88929,                0.99735,                      1,                  0.995,                0.92571,                0.46977,                0.20587,                0.96375,             0.00033967,             0.00033967,             0.00033967
                     79,                0.36931,                0.21836,                0.88896,                0.99589,                      1,                  0.995,                0.92946,                 0.4667,                0.20672,                0.96196,             0.00032553,             0.00032553,             0.00032553
                     80,                  0.383,                0.22453,                0.89467,                0.99655,                      1,                  0.995,                0.93601,                 0.4881,                0.21566,                0.96111,             0.00031138,             0.00031138,             0.00031138
                     81,                0.37548,                0.22623,                0.88791,                0.99705,                 0.9994,                  0.995,                0.93575,                0.46848,                 0.2079,                0.94641,             0.00029723,             0.00029723,             0.00029723
                     82,                0.35633,                0.21929,                0.88217,                0.99648,                      1,                  0.995,                0.93533,                0.46363,                0.20456,                0.95792,             0.00028308,             0.00028308,             0.00028308
                     83,                0.35697,                0.20864,                0.87957,                0.99552,                      1,                  0.995,                0.93261,                0.45633,                0.20082,                0.95269,             0.00026894,             0.00026894,             0.00026894
                     84,                0.35782,                 0.2129,                0.88471,                0.99784,                      1,                  0.995,                0.93721,                0.45855,                0.19524,                0.94525,             0.00025479,             0.00025479,             0.00025479
                     85,                0.36744,                0.21297,                0.89068,                0.99607,                      1,                  0.995,                 0.9325,                0.46109,                0.20068,                0.95397,             0.00024064,             0.00024064,             0.00024064
                     86,                0.36276,                0.20905,                0.88579,                0.99652,                      1,                  0.995,                0.93536,                0.48051,                0.20913,                0.96493,              0.0002265,              0.0002265,              0.0002265
                     87,                0.35068,                0.20348,                0.88248,                0.99639,                      1,                  0.995,                0.93241,                0.46575,                0.20035,                0.97464,             0.00021235,             0.00021235,             0.00021235
                     88,                0.34802,                0.20615,                0.88496,                  0.997,                      1,                  0.995,                0.93085,                0.46975,                0.19232,                0.97862,              0.0001982,              0.0001982,              0.0001982
                     89,                0.35097,                0.20134,                0.88248,                0.99767,                      1,                  0.995,                0.93671,                0.46538,                0.19268,                0.95882,             0.00018406,             0.00018406,             0.00018406
                     90,                0.34443,                0.20114,                0.88142,                0.99628,                      1,                  0.995,                0.93302,                0.46125,                0.19868,                 0.9659,             0.00016991,             0.00016991,             0.00016991
                     91,                0.31792,                0.18123,                0.85559,                0.99491,                      1,                  0.995,                0.93131,                0.46756,                0.20472,                0.98301,             0.00015576,             0.00015576,             0.00015576
                     92,                0.31246,                0.17964,                0.85629,                0.99314,                      1,                  0.995,                0.92018,                0.45496,                 0.2034,                0.97769,             0.00014161,             0.00014161,             0.00014161
                     93,                0.31027,                0.17535,                0.85238,                0.99227,                0.99907,                0.99496,                0.92673,                0.46372,                 0.2085,                0.98524,             0.00012747,             0.00012747,             0.00012747
                     94,                 0.3036,                0.17356,                0.85096,                0.99657,                      1,                  0.995,                0.92068,                0.46604,                0.20666,                0.98755,             0.00011332,             0.00011332,             0.00011332
                     95,                0.30544,                0.16898,                0.84064,                0.99715,                      1,                  0.995,                0.92078,                0.47447,                0.21299,                0.99851,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.29788,                0.16657,                0.84666,                0.99669,                      1,                  0.995,                0.92148,                0.46671,                0.20612,                0.98479,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                0.29401,                0.16339,                0.84297,                0.99608,                      1,                  0.995,                0.92551,                0.45056,                0.20026,                0.97537,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.29202,                0.15965,                0.84112,                0.99634,                      1,                  0.995,                0.92297,                0.46519,                0.20314,                0.96166,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.29872,                0.16174,                0.84693,                0.99633,                      1,                  0.995,                0.91967,                0.46801,                0.20266,                0.96715,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                0.28856,                0.15871,                 0.8377,                0.99628,                      1,                  0.995,                0.92241,                0.46234,                0.19863,                0.96451,             2.8437e-05,             2.8437e-05,             2.8437e-05
